what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1323100514340
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1323100514346
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1323100514364
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1323100514584
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1323100514945
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1323100514986
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1323100514992
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1323100515000
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1323100515004
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1323100517570
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323100523270
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1323100524052
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1323100524053
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1323100524065
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1323100524066
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1323100524180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100527646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100534564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100540440
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1323100547000
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1323100547030
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1323100547083
started,bundle,org.eclipse.pde,3.6.1.v201009090800,"org.eclipse.pde",1323100564408
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1323100564456
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1323100564479
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1323100564502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100596405
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1323100601672
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323100612015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100615289
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1323100619707
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1323100619708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100639704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100644618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100732001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100737576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100737606
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1323100740686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100741923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100743098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100743295
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1323100743330
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1323100743333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100748103
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1323100748430
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323100749453
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1323100750866
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1323100751195
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1323100751216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100765727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100768433
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100768473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100768482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100771567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100772369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100772459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100821308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100821364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100821374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100827636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100942023
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323100943937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100948834
started,bundle,org.eclipse.datatools.connectivity,1.2.1.v201007142147,"org.eclipse.datatools.connectivity",1323100967443
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.1.v201008120113,"org.eclipse.datatools.connectivity.sqm.core",1323100967461
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.4.v201002250945,"org.eclipse.datatools.modelbase.sql",1323100967526
started,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core",1323100968051
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1323100968051
started,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.1.v201005130745,"org.eclipse.datatools.sqltools.sqleditor",1323100968084
started,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook",1323100968085
started,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1323100968142
started,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic",1323100968185
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase",1323100968187
started,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby",1323100968210
started,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sybase.asa.models",1323100968232
started,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sybase.models",1323100968275
started,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql",1323100968370
started,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1323100968412
started,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1323100968438
started,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1323100968438
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.debugger.core",1323100968698
started,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1323100968700
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1323100968997
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1323100969072
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1323100969121
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1323100969205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100969243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100976479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100980074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100980398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100981288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323100981347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323101110478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323101111577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323101113114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323101127779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323101130510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323101131738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104586519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104587674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104755386
started,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.1.v201004060545,"org.eclipse.datatools.sqltools.routineeditor.ui",1323104758322
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1323104758338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104761565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104927786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323104928379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105288421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105289014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105404235
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1323105408639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105409684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105440392
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323105441768
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1323105457450
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323105457841
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1323105459075
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1323105459103
